Ticker,Security,Sector,Score
AEE,Ameren Corp,Utilities,21.39
T,AT&T Inc.,Communication Services,21.38
LDOS,Leidos Holdings,Information Technology,21.24
O,Realty Income Corporation,Real Estate,20.65
LNT,Alliant Energy Corp,Utilities,19.82
XRX,Xerox,Information Technology,19.68
INTC,Intel Corp.,Information Technology,18.69
SRE,Sempra Energy,Utilities,18.57
CCL,Carnival Corp.,Consumer Discretionary,17.14
RTX,Raytheon Technologies,Industrials,16.01
TAP,Molson Coors Beverage Company,Consumer Staples,15.67
EQR,Equity Residential,Real Estate,15.23
EIX,Edison Int'l,Utilities,14.72
VRSN,Verisign Inc.,Information Technology,13.69
COP,ConocoPhillips,Energy,13.03
EOG,EOG Resources,Energy,12.04
BSX,Boston Scientific,Health Care,10.38
BDX,Becton Dickinson,Health Care,8.97
VNO,Vornado Realty Trust,Real Estate,8.75
AMT,American Tower Corp.,Real Estate,8.73
BXP,Boston Properties,Real Estate,8.52
CVX,Chevron Corp.,Energy,6.8
KMI,Kinder Morgan,Energy,6.47
REG,Regency Centers Corporation,Real Estate,5.77
CMS,CMS Energy,Utilities,5.61
TIF,Tiffany & Co.,Consumer Discretionary,4.83
LMT,Lockheed Martin Corp.,Industrials,4.66
FTI,TechnipFMC,Energy,4.55
PSX,Phillips 66,Energy,3.93
PNW,Pinnacle West Capital,Utilities,3.84
KMB,Kimberly-Clark,Consumer Staples,3.82
HFC,HollyFrontier Corp,Energy,3.57
D,Dominion Energy,Utilities,2.96
CXO,Concho Resources,Energy,2.6
FRT,Federal Realty Investment Trust,Real Estate,2.06
WEC,WEC Energy Group,Utilities,2.03
COG,Cabot Oil & Gas,Energy,1.78
SBAC,SBA Communications,Real Estate,1.73
K,Kellogg Co.,Consumer Staples,1.73
INCY,Incyte,Health Care,1.53
XOM,Exxon Mobil Corp.,Energy,1.28
CTXS,Citrix Systems,Information Technology,1.23
OXY,Occidental Petroleum,Energy,1.05
VLO,Valero Energy,Energy,1.03
CNC,Centene Corporation,Health Care,1.01
IFF,International Flavors & Fragrances,Materials,0.74
COTY,Coty Inc,Consumer Staples,0.52
CME,CME Group Inc.,Financials,0.51
WFC,Wells Fargo,Financials,0.25
ETR,Entergy Corp.,Utilities,0.25
CPB,Campbell Soup,Consumer Staples,0.25
ESS,Essex Property Trust Inc.,Real Estate,0.0
REGN,Regeneron Pharmaceuticals,Health Care,0.0
UDR,UDR Inc.,Real Estate,0.0
AVB,AvalonBay Communities,Real Estate,0.0
LHX,L3Harris Technologies,Industrials,0.0
NOV,National Oilwell Varco Inc.,Energy,0.0
AEP,American Electric Power,Utilities,0.0
WBA,Walgreens Boots Alliance,Consumer Staples,0.0
